Name,FeatureId,Kind,Part,Vertex,X,Y,Z
"osm_way_439439335_0_3","osm:way/439439335","building",0,3,14826.563423624633,26365.57208298678,-0.7180870303187703
"osm_way_439439335_0_4","osm:way/439439335","building",0,4,14525.312985892197,25910.077638225368,-0.6924627174811349
"osm_way_439439335_0_5","osm:way/439439335","building",0,5,15424.148075601108,25269.02353027439,-0.6877617296368044
"osm_way_439439335_0_6","osm:way/439439335","building",0,6,14732.324641593368,24046.963128876774,-0.6240929986702781
"osm_way_439439335_0_7","osm:way/439439335","building",0,7,14071.39271467313,24481.36954063325,-0.6257514546675225
"osm_way_439439335_0_8","osm:way/439439335","building",0,8,13399.084564393379,24519.1563949265,-0.612750783702154
"osm_way_439439335_0_9","osm:way/439439335","building",0,9,13367.406704128927,23953.669228435007,-0.5905560715845581
"osm_way_439439335_0_10","osm:way/439439335","building",0,10,12924.885353795828,23978.11931396771,-0.5823700774655549
"osm_way_439439335_0_11","osm:way/439439335","building",0,11,12977.68132469069,24926.89349718163,-0.6198870369146903
"osm_way_439439335_0_12","osm:way/439439335","building",0,12,13267.55352469392,24911.334202078655,-0.6252325640275558
"osm_way_439439335_0_13","osm:way/439439335","building",0,13,13329.283319279315,25942.320537389092,-0.6677004568018674
"osm_way_439439335_0_14","osm:way/439439335","building",0,14,13372.331661063243,26652.23459592261,-0.6979285298740479
"osm_way_449852768_0_0","osm:way/449852768","building",0,0,27577.799855701636,28017.197995148083,-1.2118492210504428
"osm_way_449852768_0_1","osm:way/449852768","building",0,1,27706.138688550236,29177.053699471526,-1.2695097180312587
"osm_way_449852768_0_2","osm:way/449852768","building",0,2,28352.466178830917,29107.035405059174,-1.294662892416909
"osm_way_449852768_0_3","osm:way/449852768","building",0,3,28224.93822630305,27947.179787798894,-1.2370361278414066
"osm_way_449852768_0_4","osm:way/449852768","building",0,4,27577.799855701636,28017.197995148083,-1.2118492210504428
"osm_way_453770855_0_0","osm:way/453770855","building",0,0,-33490.883680603896,1332.3478826793776,-0.8792953055753117
"osm_way_453770855_0_1","osm:way/453770855","building",0,1,-33421.08811035507,1966.719975881646,-0.8772838919373527
"osm_way_453770855_0_2","osm:way/453770855","building",0,2,-25874.071316860154,1143.8146228497537,-0.5250162216281495
"osm_way_453770855_0_3","osm:way/453770855","building",0,3,-26012.864453402904,-121.59507533499934,-0.5296368488682313
"osm_way_453770855_0_4","osm:way/453770855","building",0,4,-32491.35027425853,584.708006160429,-0.826549633638729
"osm_way_453770855_0_5","osm:way/453770855","building",0,5,-33560.67928518561,701.3087111510908,-0.8819502181677485
"osm_way_453770855_0_6","osm:way/453770855","building",0,6,-33490.883680603896,1332.3478826793776,-0.8792953055753117
"osm_way_466836094_0_0","osm:way/466836094","road",0,0,7933.575916543336,11113.069643432904,-0.14627252922423395
"osm_way_466836094_0_1","osm:way/466836094","road",0,1,6498.047188147521,11230.848593200097,-0.13212457118569887
"osm_way_466836095_0_0","osm:way/466836095","road",0,0,5314.222927169556,11346.400626760133,-0.123228889950866
"osm_way_466836095_0_1","osm:way/466836095","road",0,1,4693.0804023377,11406.398028411939,-0.11943600284070044
"osm_way_466836096_0_0","osm:way/466836096","road",0,0,-3029.3945535401213,12086.326149094271,-0.12192703744489108
"osm_way_466836096_0_1","osm:way/466836096","road",0,1,-2763.886033205587,12068.551630974931,-0.12038597331383016
"osm_way_466836096_0_2","osm:way/466836096","road",0,2,-1784.6712382570747,12000.785241878173,-0.11561855102826257
"osm_way_466836097_0_0","osm:way/466836097","road",0,0,-4300.10082589184,12197.41710793207,-0.13133587454134954
"osm_way_466836097_0_1","osm:way/466836097","road",0,1,-3029.3945535401213,12086.326149094271,-0.12192703744489108
"osm_way_532920245_0_0","osm:way/532920245","road",0,0,-19926.698571230158,3971.455192442089,-0.32317634448872923
"osm_way_532920245_0_1","osm:way/532920245","road",0,1,-20076.85684824543,2242.768454535922,-0.31943969532761685
"osm_way_532920245_0_2","osm:way/532920245","road",0,2,-23274.28981625346,2552.6293173927493,-0.4290979934756578
"osm_way_533519710_0_0","osm:way/533519710","road",0,0,-23389.52476817053,791.7246306692061,-0.4286808588369606
"osm_way_533519710_0_1","osm:way/533519710","road",0,1,-23274.28981625346,2552.6293173927493,-0.4290979934756578
"osm_way_533519710_0_2","osm:way/533519710","road",0,2,-23150.124179774964,4351.307503320668,-0.43434057466278375
"osm_way_540136822_0_0","osm:way/540136822","road",0,0,54680.552813491486,37556.63349989112,-3.4481653575909377
"osm_way_540136822_0_1","osm:way/540136822","road",0,1,54967.992572927724,37529.590628396545,-3.4712388755508528
"osm_way_552774832_0_0","osm:way/552774832","road",0,0,54487.17185735131,35949.064228596675,-3.3388238106795143
"osm_way_552774832_0_1","osm:way/552774832","road",0,1,54967.86089756251,35903.33627640097,-3.377423605982699
"osm_way_555639696_0_0","osm:way/555639696","building",0,0,86.8819856625656,36110.12076037167,-1.0242411058101197
"osm_way_555639696_0_1","osm:way/555639696","building",0,1,-82.00985164141414,34064.81065496633,-0.9114990792994604
"osm_way_555639696_0_2","osm:way/555639696","building",0,2,-6930.244172062757,34625.81907349377,-0.9793551503406661
"osm_way_555639696_0_3","osm:way/555639696","building",0,3,-6761.37281639024,36670.01988670096,-1.0920255022028869
"osm_way_555639696_0_4","osm:way/555639696","building",0,4,86.8819856625656,36110.12076037167,-1.0242411058101197
"osm_way_555639697_0_0","osm:way/555639697","building",0,0,-9729.928169411414,33162.62694468506,-0.9379516159469858
"osm_way_555639697_0_1","osm:way/555639697","building",0,1,-9611.399959011136,34612.454673252054,-1.0133414435301802
"osm_way_555639697_0_2","osm:way/555639697","building",0,2,-7724.35812823185,34459.16383232046,-0.979420051490365
"osm_way_555639697_0_3","osm:way/555639697","building",0,3,-7842.89034187384,33009.336429795134,-0.9040292160591434
"osm_way_555639697_0_4","osm:way/555639697","building",0,4,-9729.928169411414,33162.62694468506,-0.9379516159469858
"osm_way_555639698_0_0","osm:way/555639698","building",0,0,-13076.920176034548,34208.0008413152,-1.0530182257809884
"osm_way_555639698_0_1","osm:way/555639698","building",0,1,-12998.98773048905,35123.448041004835,-1.1012823732471588
"osm_way_555639698_0_2","osm:way/555639698","building",0,2,-10006.837717898941,34870.19580724338,-1.033480336309367
"osm_way_555639698_0_3","osm:way/555639698","building",0,3,-10141.602679608057,33285.93945726351,-0.9507906706005542
"osm_way_555639698_0_4","osm:way/555639698","building",0,4,-12864.168588923767,33515.86573142342,-1.0118793809283488
"osm_way_555639698_0_5","osm:way/555639698","building",0,5,-12807.342762407705,34185.78642484915,-1.0463632907487863
"osm_way_555639698_0_6","osm:way/555639698","building",0,6,-13076.920176034548,34208.0008413152,-1.0530182257809884
"osm_way_568973395_0_0","osm:way/568973395","green",0,0,54492.52023415262,21654.111140432524,-2.6924783082009185
